id,conversation,question_id,model_name,time,mt,exp,nll,N100,N150,N200,N250,N300,N350,N400,word_speed,line_speed,pixel_speed,saccade,fft,rrt,tft,skip_rate,fixation_time
32,2,98,gpt-3.5-turbo,35452,2.0,1.5,136.53830939449836,53,26,5,4,1,1,1,492.3888888888889,5908.666666666667,5.503767209820827,174,116.20000000000002,215.8,846.6,0.3571428571428571,20233.333333333325
34,1,102,gpt-4,11140,1.5,1.75,130.4684725914849,22,14,8,5,1,1,0,293.1578947368421,2785.0,0.7420428974238508,38,182.6,664.0,232.40000000000003,0.3846153846153846,32483.333333333336
34,2,102,vicuna-13b-v1.2,40802,1.5,1.25,171.8923620871501,77,32,14,10,8,5,2,523.1025641025641,5828.857142857143,5.7153163350583975,196,199.2,66.4,265.6,0.3684210526315789,7916.666666666666
35,1,98,llama-13b,11034,1.0,1.0,135.44354584254324,19,11,4,1,1,0,0,324.52941176470586,3678.0,0.8452844761448326,49,116.20000000000002,298.8,415.00000000000006,0.2133333333333333,34350.000000000015
35,2,98,gpt-3.5-turbo,38660,2.0,2.0,166.47042290137324,61,26,11,5,2,1,0,515.4666666666667,6443.333333333333,5.971751660513831,221,99.6,166.0,99.6,0.4117647058823529,7233.333333333334
36,1,98,alpaca-13b,18068,1.0,1.25,112.62211922125424,39,15,9,6,4,2,1,451.7,6022.666666666667,1.38413992341715,94,182.6,166.0,265.6,0.7066666666666667,11833.333333333334
36,2,98,gpt-3.5-turbo,13520,2.0,1.75,166.47042290137324,29,19,13,11,6,4,2,180.26666666666668,2253.333333333333,1.9583914507662408,57,116.20000000000002,116.20000000000002,215.8,0.325,15250.0
37,1,98,claude-v1,31203,1.0,1.75,186.61258690227987,62,25,10,5,2,0,0,528.8644067796611,6240.6,2.378243484360981,161,365.2000000000001,116.20000000000002,365.2000000000001,0.3333333333333333,23600.0
37,2,98,gpt-3.5-turbo,27524,2.0,1.25,136.53829455177765,49,21,10,4,2,1,1,382.27777777777777,4587.333333333333,2.5166633920139767,137,149.4,946.2,381.8,0.2711864406779661,24066.666666666664
38,1,92,gpt-4,19313,2.0,1.75,123.3931445494527,34,22,14,9,3,2,1,495.2051282051282,4828.25,2.769652068622022,72,182.6,697.2,199.2,0.2,21150.000000000007
38,2,92,gpt-3.5-turbo,24591,1.0,1.25,90.45894930919168,47,21,8,5,3,2,1,614.775,8197.0,3.3279848976326845,154,249.00000000000003,149.4,448.2000000000001,0.5128205128205128,10400.0
39,1,86,alpaca-13b,31722,1.5,1.25,130.4479998461902,53,31,15,10,5,3,2,480.6363636363636,5287.0,2.4310549559568218,146,996.0,149.4,996.0,0.3181818181818182,26450.0
39,2,86,llama-13b,31895,1.5,1.75,224.6988650697822,48,15,4,2,1,1,0,332.2395833333333,3986.875,1.7649505454318195,138,249.00000000000003,265.6,99.6,0.53125,16450.0
40,1,100,gpt-3.5-turbo,24820,2.0,2.0,127.155161358678,45,25,12,6,3,2,1,299.03614457831327,3545.714285714286,2.588007234159855,118,232.40000000000003,132.8,232.40000000000003,0.5818181818181818,20000.000000000007
40,2,100,claude-v1,23355,1.0,1.0,176.37208183063194,45,26,14,9,6,3,0,424.6363636363636,4671.0,1.6706643666918874,83,116.20000000000002,215.8,116.20000000000002,0.5060240963855421,21933.333333333336
41,1,98,alpaca-13b,14225,1.0,1.5,91.1592464838177,27,17,13,7,4,3,3,338.6904761904762,4741.666666666667,1.0842070815317422,40,315.40000000000003,431.6,315.40000000000003,0.3055555555555556,17100.000000000004
41,2,98,gpt-3.5-turbo,20765,2.0,1.5,136.53830939449836,58,26,13,8,3,3,1,288.40277777777777,3460.833333333333,3.2236750003364967,91,116.20000000000002,215.8,116.20000000000002,0.3571428571428571,11550.0
42,1,98,alpaca-13b,12806,1.0,1.0,112.62211922125424,14,9,5,3,1,1,1,320.15,4268.666666666667,0.9810325359353568,50,166.0,1062.4,1427.6,0.3866666666666666,20100.0
42,2,98,gpt-3.5-turbo,27121,2.0,2.0,166.47042290137324,60,37,21,14,7,4,3,361.6133333333333,4520.166666666667,3.92851586806444,114,315.40000000000003,747.0000000000001,315.40000000000003,0.725,9516.666666666668
